Suburb,Latitude,Longitude
haymarket,-33.878496,151.2090002
burwood,-33.8770228,151.103898
waterloo,-33.899479,151.211378
strathfield,-33.871672,151.0942856
rhodes,-33.8305698,151.0870736
parramatta,-33.817225,151.0048271
zetland,-33.906269,151.2024366
epping,-33.7727449,151.082121
auburn,-33.8492228,151.0329196
marsfield,-33.7775092,151.1185824
chatswood,-33.7970939,151.1808943
ashfield,-33.8876216,151.1257964
sydney,-33.8613056,151.2108216
eastwood,-33.7901317,151.0822352
campsie,-33.9104555,151.1032614
ultimo,-33.8825462,151.2015489
hurstville,-33.9676282,151.1023145
mascot,-33.9233749,151.1872747
